encounter_condition_id,local_language_id,name
1,9,Swarm
2,9,Time of day
3,9,PokeRadar
4,9,Gen 3 game in slot 2
5,9,Radio
6,9,Season
7,9,Chosen Starter
8,9,Chosen dialogue at the news report
9,9,Story Progress
10,9,Miscellaneous
11,9,Item
12,9,Weekday
13,9,First party Pokemon
14,9,Special encounter
15,9,Trade a specific Pokemon to an NPC
16,9,Redeem Coins for a Pokemon at the Prize Corner or Game Corner
17,9,Friend Safari Slot assignment
18,9,Great Marsh Daily Slot
19,9,Honey Tree Group
20,9,Headbutt Tree Type
21,9,Listen to Mr. Backlot
22,9,Bug-Catching Contest
23,9,Have save data from another Pokémon game
24,9,Find a certain number of Alolan Diglett in Isle of Armor
25,9,"During specific weather conditions like sun, rain, or snow"
26,9,Johto Safari Zone Blocks
27,9,Max Den Rarity
28,9,Max Den Difficulty Rating
29,9,Berry Tree Type
30,9,Trash Can Type
