encounter_condition_value_id,local_language_id,name
1,9,During a swarm
2,9,Not during a swarm
3,9,In the morning
4,9,During the day
5,9,At night
6,9,Using PokéRadar
7,9,Not using PokéRadar
8,9,No game in slot 2
9,9,Ruby in slot 2
10,9,Sapphire in slot 2
11,9,Emerald in slot 2
12,9,FireRed in slot 2
13,9,LeafGreen in slot 2
14,9,Radio off
15,9,Hoenn radio
16,9,Sinnoh radio
17,9,During Spring
18,9,During Summer
19,9,During Autumn
20,9,During Winter
21,9,Bulbasaur as starter
22,9,Squirtle as starter
23,9,Charmander as starter
24,9,Chespin as starter
25,9,Fennekin as starter
26,9,Froakie as starter
27,9,Chose ‘Blue’ on the TV news report
28,9,Chose ‘Red’ on the TV news report
29,9,Awakened the legendary beasts at Burned Tower
30,9,Visited Lake Verity after defeating Team Galactic at Mt. Coronet
31,9,Talked to Professor Oak at Eterna City
32,9,Visited the Pokémon Fan Club with Copycat’s doll
33,9,Met Tornadus or Thundurus in a cutscene
34,9,Beat the Elite 4 for the second time
35,9,Enter the Hall of Fame
36,9,None
37,9,Acquired National Pokédex
38,9,None
39,9,Beat the Pokémon league after knocking out Snorlax at Route 11
40,9,Playing on the Virtual Console Release
41,9,Cure the nightmares of Eldritch’s Son
42,9,Talk to Cynthia’s grandmother
43,9,No item requirement
44,9,Have Adamant Orb in bag
45,9,Have Lustrous Orb in bag
46,9,Have Helix Fossil in bag
47,9,Have Dome Fossil in bag
48,9,Have Old Amber in bag
49,9,Have Root Fossil in bag
50,9,Have Claw Fossil in bag
51,9,Defeat Jupiter
52,9,Defeat Team Galactic at Iron Island
53,9,Input correct password
54,9,Obtained Zephyr badge
55,9,Defeat Red
56,9,Received a Kanto Starter
57,9,Received TM59 From Claire
58,9,"Have Regirock, Regice and Registeel in the party"
59,9,Sunday
60,9,Monday
61,9,Tuesday
62,9,Wednesday
63,9,Thursday
64,9,Friday
65,9,Saturday
66,9,The first Pokémon in the player’s party has a high friendship stat
67,9,Beat Mars for the first time
68,9,Have Odd Keystone in bag
69,9,Has talked to at least 32 people in the underground
70,9,Returned Machine Part to Power Plant
71,9,Have an Event Arceus in the party
72,9,This special Pokémon couldn’t be captured in previous encounters (either fainted or ran from battle)
73,9,Have Ice Key in bag
74,9,Have Iron Key in bag
75,9,Spoke to Professor Juniper in the Cave of Being
76,9,Have Lunar Wing in bag
77,9,Obtained Quake Badge
78,9,Have Light Stone in bag
79,9,Have Dark Stone in bag
80,9,Captured Reshiram or Zekrom previously
81,9,Defeated Ghetsis
82,9,Has been unsuccesfully battled 11 times before
83,9,The current minute is between 00 and 19
84,9,The current minute is between 20 and 39
85,9,The current minute is between 40 and 59
86,9,The current time is between 04:00 and 19:59
87,9,The current time is between 20:00 and 21:59
88,9,The current time is between 22:00 and 03:59
89,9,Have Tidal Bell in bag
90,9,Have Clear Bell in bag
91,9,Defeated or captured Groudon or Kyogre
92,9,"Have Uxie, Mesprit, and Azelf in the party"
93,9,"After capturing the three regis in the game, have a nicknamed Regice holding a cold-based item, plus Regirock and Registeel in the party"
94,9,Have Dialga or Palkia in the party
95,9,Have Castform in party
96,9,Have a Level 100 Pokémon in party
97,9,Have Tornadus and Thundurus in party
98,9,Have Reshiram and Zekrom in party
99,9,Captured all Ultra Beasts
100,9,Finished Looker’s Sidequest
101,9,After finishing Olivia’s trial
102,9,Have Raikou and Entei in party
103,9,Have Groudon and Kyogre in party
104,9,Have Dialga and Palkia in party
105,9,Scan a specific QR Code
109,9,Give Togepi or Togetic in a Trade
110,9,Give Trapunch in a Trade
111,9,Give Surskit in a Trade
112,9,Give Wooper in a Trade
113,9,Catch all 82 Shadow Pokemon and Mirror B will appear in Gateon with a Shadow Dragonite
114,9,Complete Mt. Battle to receive a special prize Pokemon
115,9,Have at least 180 coins in your Coin Case
116,9,Have at least 500 coins in your Coin Case
117,9,Have at least 1200 coins in your Coin Case
118,9,Have at least 2800 coins in your Coin Case
119,9,Have at least 5500 coins in your Coin Case
120,9,Have at least 9999 coins in your Coin Case
121,9,Have at least 120 coins in your Coin Case
122,9,Have at least 750 coins in your Coin Case
123,9,Have at least 2500 coins in your Coin Case
124,9,Have at least 4600 coins in your Coin Case
125,9,Have at least 6500 coins in your Coin Case
126,9,Have at least 230 coins in your Coin Case
127,9,Have at least 1000 coins in your Coin Case
128,9,Have at least 2680 coins in your Coin Case
129,9,Have at least 3333 coins in your Coin Case
130,9,Have at least 6666 coins in your Coin Case
131,9,Have at least 200 coins in your Coin Case
132,9,Have at least 700 coins in your Coin Case
133,9,Have at least 2100 coins in your Coin Case
134,9,Have at least 100 coins in your Coin Case
135,9,Have at least 800 coins in your Coin Case
136,9,Have at least 1500 coins in your Coin Case
137,9,Have at least 2222 coins in your Coin Case
138,9,Have at least 5555 coins in your Coin Case
139,9,Have at least 8888 coins in your Coin Case
140,9,Have at least 150 coins in your Coin Case
141,9,Have at least 620 coins in your Coin Case
142,9,Have at least 2880 coins in your Coin Case
143,9,Have at least 5400 coins in your Coin Case
144,9,Have at least 8300 coins in your Coin Case
145,9,Give Abra in a Trade
146,9,Give Nidoran-M in a Trade
147,9,Give Nidorino in a Trade
148,9,Give Slowbro in a Trade
149,9,Give Poliwhirl in a Trade
150,9,Give Spearow in a Trade
151,9,Give Raichu in a Trade
152,9,Give Venonat in a Trade
153,9,Give Ponyta in a Trade
154,9,Give Clefairy in a Trade
155,9,Give Cubone in a Trade
156,9,Give Lickitung in a Trade
