id,identifier,name,category_id,category,category_name,cost,fling_power,fling_effect_id,short_effect
1,master-ball,Master Ball,34,standard-balls,Standard balls,0,,,Catches a wild Pokémon every time.
2,ultra-ball,Ultra Ball,34,standard-balls,Standard balls,800,,,Tries to catch a wild Pokémon.  Success rate is 2×.
3,great-ball,Great Ball,34,standard-balls,Standard balls,600,,,Tries to catch a wild Pokémon.  Success rate is 1.5×.
4,poke-ball,Poké Ball,34,standard-balls,Standard balls,200,,,Tries to catch a wild Pokémon.
5,safari-ball,Safari Ball,34,standard-balls,Standard balls,0,,,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.
6,net-ball,Net Ball,33,special-balls,Special balls,1000,,,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.
7,dive-ball,Dive Ball,33,special-balls,Special balls,1000,,,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing."
8,nest-ball,Nest Ball,33,special-balls,Special balls,1000,,,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30."
9,repeat-ball,Repeat Ball,33,special-balls,Special balls,1000,,,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.
10,timer-ball,Timer Ball,33,special-balls,Special balls,1000,,,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×."
11,luxury-ball,Luxury Ball,33,special-balls,Special balls,3000,,,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.
12,premier-ball,Premier Ball,33,special-balls,Special balls,20,,,Tries to catch a wild Pokémon.
13,dusk-ball,Dusk Ball,33,special-balls,Special balls,1000,,,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.
14,heal-ball,Heal Ball,33,special-balls,Special balls,300,,,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.
15,quick-ball,Quick Ball,33,special-balls,Special balls,1000,,,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn."
16,cherish-ball,Cherish Ball,33,special-balls,Special balls,0,,,Tries to catch a wild Pokémon.
17,potion,Potion,27,healing,Healing,200,30,,Restores 20 HP.
18,antidote,Antidote,30,status-cures,Status cures,200,30,,Cures poison.
19,burn-heal,Burn Heal,30,status-cures,Status cures,200,30,,Cures a burn.
20,ice-heal,Ice Heal,30,status-cures,Status cures,200,30,,Cures freezing.
21,awakening,Awakening,30,status-cures,Status cures,200,30,,Cures sleep.
22,paralyze-heal,Paralyze Heal,30,status-cures,Status cures,200,30,,Cures paralysis.
23,full-restore,Full Restore,27,healing,Healing,3000,30,,Restores HP to full and cures any status ailment and confusion.
24,max-potion,Max Potion,27,healing,Healing,2500,30,,Restores HP to full.
25,hyper-potion,Hyper Potion,27,healing,Healing,1500,30,,Restores 200 HP.
26,super-potion,Super Potion,27,healing,Healing,700,30,,Restores 50 HP.
27,full-heal,Full Heal,30,status-cures,Status cures,400,30,,Cures any status ailment and confusion.
28,revive,Revive,29,revival,Revival,2000,30,,Revives with half HP.
29,max-revive,Max Revive,29,revival,Revival,4000,30,,Revives with full HP.
30,fresh-water,Fresh Water,27,healing,Healing,200,30,,Restores 50 HP.
31,soda-pop,Soda Pop,27,healing,Healing,300,30,,Restores 60 HP.
32,lemonade,Lemonade,27,healing,Healing,400,30,,Restores 80 HP.
33,moomoo-milk,Moomoo Milk,27,healing,Healing,600,30,,Restores 100 HP.
34,energy-powder,Energy Powder,27,healing,Healing,500,30,,"Restores 50 HP, but lowers happiness."
35,energy-root,Energy Root,27,healing,Healing,1200,30,,"Restores 200 HP, but lowers happiness."
36,heal-powder,Heal Powder,30,status-cures,Status cures,300,30,,"Cures any status ailment, but lowers happiness."
37,revival-herb,Revival Herb,29,revival,Revival,2800,30,,"Revives with full HP, but lowers happiness."
38,ether,Ether,28,pp-recovery,PP recovery,1200,30,,Restores 10 PP for one move.
39,max-ether,Max Ether,28,pp-recovery,PP recovery,2000,30,,Restores PP to full for one move.
40,elixir,Elixir,28,pp-recovery,PP recovery,3000,30,,Restores 10 PP for each move.
41,max-elixir,Max Elixir,28,pp-recovery,PP recovery,4500,30,,Restores PP to full for each move.
42,lava-cookie,Lava Cookie,30,status-cures,Status cures,350,30,,Cures any status ailment and confusion.
43,berry-juice,Berry Juice,27,healing,Healing,200,30,,Restores 20 HP.
44,sacred-ash,Sacred Ash,29,revival,Revival,50000,30,,Revives all fainted Pokémon with full HP.
45,hp-up,HP Up,26,vitamins,Vitamins,10000,30,,Raises HP effort and happiness.
46,protein,Protein,26,vitamins,Vitamins,10000,30,,Raises Attack effort and happiness.
47,iron,Iron,26,vitamins,Vitamins,10000,30,,Raises Defense effort and happiness.
48,carbos,Carbos,26,vitamins,Vitamins,10000,30,,Raises Speed effort and happiness.
49,calcium,Calcium,26,vitamins,Vitamins,10000,30,,Raises Special Attack effort and happiness.
50,rare-candy,Rare Candy,26,vitamins,Vitamins,10000,30,,Causes a level-up and raises happiness.
51,pp-up,PP Up,26,vitamins,Vitamins,10000,30,,Raises a move’s max PP by 20%.
52,zinc,Zinc,26,vitamins,Vitamins,10000,30,,Raises Special Defense and happiness.
53,pp-max,PP Max,26,vitamins,Vitamins,10000,30,,Raises a move’s max PP by 60%.
54,old-gateau,Old Gateau,30,status-cures,Status cures,350,30,,Cures any status ailment and confusion.
55,guard-spec,Guard Spec.,1,stat-boosts,Stat boosts,1500,30,,Prevents stat changes in battle for five turns in battle.  Raises happiness.
56,dire-hit,Dire Hit,1,stat-boosts,Stat boosts,1000,30,,Increases the chance of a critical hit in battle.  Raises happiness.
57,x-attack,X Attack,1,stat-boosts,Stat boosts,1000,30,,Raises Attack by one stage in battle.  Raises happiness.
