item_id,local_language_id,name
1,1,マスターボール
1,9,Master Ball
1,11,マスターボール
2,1,ハイパーボール
2,9,Ultra Ball
2,11,ハイパーボール
3,1,スーパーボール
3,9,Great Ball
3,11,スーパーボール
4,1,モンスターボール
4,9,Poké Ball
4,11,モンスターボール
5,1,サファリボール
5,9,Safari Ball
5,11,サファリボール
6,1,ネットボール
6,9,Net Ball
6,11,ネットボール
7,1,ダイブボール
7,9,Dive Ball
7,11,ダイブボール
8,1,ネストボール
8,9,Nest Ball
8,11,ネストボール
9,1,リピートボール
9,9,Repeat Ball
9,11,リピートボール
10,1,タイマーボール
10,9,Timer Ball
10,11,タイマーボール
11,1,ゴージャスボール
11,9,Luxury Ball
11,11,ゴージャスボール
12,1,プレミアボール
12,9,Premier Ball
12,11,プレミアボール
13,1,ダークボール
13,9,Dusk Ball
13,11,ダークボール
14,1,ヒールボール
14,9,Heal Ball
14,11,ヒールボール
15,1,クイックボール
15,9,Quick Ball
15,11,クイックボール
16,1,プレシャスボール
16,9,Cherish Ball
16,11,プレシャスボール
17,1,キズぐすり
17,9,Potion
17,11,キズぐすり
18,1,どくけし
18,9,Antidote
18,11,どくけし
19,1,やけどなおし
19,9,Burn Heal
19,11,やけどなおし
20,1,こおりなおし
20,9,Ice Heal
20,11,こおりなおし
21,1,ねむけざまし
21,9,Awakening
21,11,ねむけざまし
22,1,まひなおし
22,9,Paralyze Heal
22,11,まひなおし
23,1,かいふくのくすり
23,9,Full Restore
23,11,かいふくのくすり
24,1,まんたんのくすり
24,9,Max Potion
24,11,まんたんのくすり
25,1,すごいキズぐすり
25,9,Hyper Potion
25,11,すごいキズぐすり
26,1,いいキズぐすり
26,9,Super Potion
26,11,いいキズぐすり
27,1,なんでもなおし
27,9,Full Heal
27,11,なんでもなおし
28,1,げんきのかけら
28,9,Revive
28,11,げんきのかけら
29,1,げんきのかたまり
29,9,Max Revive
29,11,げんきのかたまり
30,1,おいしいみず
30,9,Fresh Water
30,11,おいしいみず
31,1,サイコソーダ
31,9,Soda Pop
31,11,サイコソーダ
32,1,ミックスオレ
32,9,Lemonade
32,11,ミックスオレ
33,1,モーモーミルク
33,9,Moomoo Milk
33,11,モーモーミルク
34,1,ちからのこな
34,9,Energy Powder
34,11,ちからのこな
35,1,ちからのねっこ
35,9,Energy Root
35,11,ちからのねっこ
36,1,ばんのうごな
36,9,Heal Powder
36,11,ばんのうごな
37,1,ふっかつそう
37,9,Revival Herb
37,11,ふっかつそう
38,1,ピーピーエイド
38,9,Ether
38,11,ピーピーエイド
39,1,ピーピーリカバー
39,9,Max Ether
39,11,ピーピーリカバー
40,1,ピーピーエイダー
40,9,Elixir
40,11,ピーピーエイダー
41,1,ピーピーマックス
41,9,Max Elixir
41,11,ピーピーマックス
42,1,フエンせんべい
42,9,Lava Cookie
42,11,フエンせんべい
43,1,きのみジュース
43,9,Berry Juice
43,11,きのみジュース
44,1,せいなるはい
44,9,Sacred Ash
44,11,せいなるはい
45,1,マックスアップ
45,9,HP Up
45,11,マックスアップ
46,1,タウリン
46,9,Protein
46,11,タウリン
47,1,ブロムヘキシン
47,9,Iron
47,11,ブロムヘキシン
48,1,インドメタシン
48,9,Carbos
48,11,インドメタシン
49,1,リゾチウム
49,9,Calcium
49,11,リゾチウム
50,1,ふしぎなアメ
50,9,Rare Candy
50,11,ふしぎなアメ
51,1,ポイントアップ
51,9,PP Up
51,11,ポイントアップ
52,1,キトサン
52,9,Zinc
52,11,キトサン
53,1,ポイントマックス
53,9,PP Max
53,11,ポイントマックス
54,1,もりのヨウカン
54,9,Old Gateau
54,11,もりのヨウカン
55,1,エフェクトガード
55,9,Guard Spec.
55,11,エフェクトガード
56,1,クリティカット
56,9,Dire Hit
56,11,クリティカット
57,1,プラスパワー
57,9,X Attack
57,11,プラスパワー
58,1,ディフェンダー
58,9,X Defense
58,11,ディフェンダー
59,1,スピーダー
59,9,X Speed
59,11,スピーダー
60,1,ヨクアタール
60,9,X Accuracy
60,11,ヨクアタール
61,1,スペシャルアップ
61,9,X Sp. Atk
61,11,スペシャルアップ
62,1,スペシャルガード
62,9,X Sp. Def
62,11,スペシャルガード
63,1,ピッピにんぎょう
63,9,Poké Doll
63,11,ピッピにんぎょう
64,1,エネコのシッポ
64,9,Fluffy Tail
64,11,エネコのシッポ
65,1,あおいビードロ
65,9,Blue Flute
65,11,あおいビードロ
66,1,きいろビードロ
66,9,Yellow Flute
66,11,きいろビードロ
67,1,あかいビードロ
67,9,Red Flute
67,11,あかいビードロ
68,1,くろいビードロ
68,9,Black Flute
68,11,くろいビードロ
69,1,しろいビードロ
69,9,White Flute
69,11,しろいビードロ
70,1,あさせのしお
70,9,Shoal Salt
70,11,あさせのしお
71,1,あさせのかいがら
71,9,Shoal Shell
71,11,あさせのかいがら
72,1,あかいかけら
72,9,Red Shard
72,11,あかいかけら
73,1,あおいかけら
73,9,Blue Shard
73,11,あおいかけら
74,1,きいろいかけら
74,9,Yellow Shard
74,11,きいろいかけら
75,1,みどりのかけら
75,9,Green Shard
75,11,みどりのかけら
76,1,シルバースプレー
76,9,Super Repel
76,11,シルバースプレー
77,1,ゴールドスプレー
77,9,Max Repel
77,11,ゴールドスプレー
78,1,あなぬけのヒモ
78,9,Escape Rope
78,11,あなぬけのヒモ
79,1,むしよけスプレー
79,9,Repel
79,11,むしよけスプレー
80,1,たいようのいし
80,9,Sun Stone
80,11,たいようのいし
81,1,つきのいし
81,9,Moon Stone
81,11,つきのいし
82,1,ほのおのいし
82,9,Fire Stone
82,11,ほのおのいし
83,1,かみなりのいし
83,9,Thunder Stone
83,11,かみなりのいし
84,1,みずのいし
84,9,Water Stone
84,11,みずのいし
85,1,リーフのいし
85,9,Leaf Stone
85,11,リーフのいし
86,1,ちいさなキノコ
86,9,Tiny Mushroom
86,11,ちいさなキノコ
87,1,おおきなキノコ
87,9,Big Mushroom
87,11,おおきなキノコ
88,1,しんじゅ
88,9,Pearl
88,11,しんじゅ
89,1,おおきなしんじゅ
89,9,Big Pearl
89,11,おおきなしんじゅ
90,1,ほしのすな
90,9,Stardust
90,11,ほしのすな
91,1,ほしのかけら
91,9,Star Piece
91,11,ほしのかけら
92,1,きんのたま
92,9,Nugget
92,11,きんのたま
93,1,ハートのウロコ
93,9,Heart Scale
93,11,ハートのウロコ
94,1,あまいミツ
94,9,Honey
94,11,あまいミツ
95,1,すくすくこやし
95,9,Growth Mulch
95,11,すくすくこやし
96,1,じめじめこやし
96,9,Damp Mulch
96,11,じめじめこやし
97,1,ながながこやし
97,9,Stable Mulch
97,11,ながながこやし
98,1,ねばねばこやし
98,9,Gooey Mulch
98,11,ねばねばこやし
99,1,ねっこのカセキ
99,9,Root Fossil
99,11,ねっこのカセキ
100,1,ツメのカセキ
100,9,Claw Fossil
100,11,ツメのカセキ
101,1,かいのカセキ
101,9,Helix Fossil
101,11,かいのカセキ
102,1,こうらのカセキ
102,9,Dome Fossil
102,11,こうらのカセキ
103,1,ひみつのコハク
103,9,Old Amber
103,11,ひみつのコハク
104,1,たてのカセキ
104,9,Armor Fossil
104,11,たてのカセキ
105,1,ずがいのカセキ
105,9,Skull Fossil
105,11,ずがいのカセキ
106,1,きちょうなホネ
106,9,Rare Bone
106,11,きちょうなホネ
107,1,ひかりのいし
107,9,Shiny Stone
107,11,ひかりのいし
108,1,やみのいし
108,9,Dusk Stone
108,11,やみのいし
109,1,めざめいし
109,9,Dawn Stone
109,11,めざめいし
110,1,まんまるいし
110,9,Oval Stone
110,11,まんまるいし
111,1,かなめいし
111,9,Odd Keystone
111,11,かなめいし
112,1,こんごうだま
112,9,Adamant Orb
112,11,こんごうだま
113,1,しらたま
113,9,Lustrous Orb
113,11,しらたま
114,1,グラスメール
114,9,Grass Mail
115,1,フレイムメール
115,9,Flame Mail
116,1,ブルーメール
116,9,Bubble Mail
