"name","flavor"
"10,000,000 Volt Thunderbolt","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Absorb","A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target."
"Accelerock","The user smashes into the target at high speed. This move always goes first."
"Acid","Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats."
"Acid Armor","The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat."
"Acid Downpour","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Acid Spray","The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat."
"Acrobatics","The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item."
"Acupressure","The user applies pressure to stress points, sharply boosting one of its or its allies' stats."
"Aerial Ace","The user confounds the target with speed, then slashes. This attack never misses."
"Aeroblast","A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit."
"After You","The user helps the target and makes it use its move right after the user."
"Agility","The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat."
"Air Cutter","The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit."
"Air Slash","The user attacks with a blade of air that slices even the sky. This may also make the target flinch."
"All-Out Pummeling","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Alluring Voice","The user attacks the target using its angelic voice. This also confuses the target if its stats have been boosted during the turn."
"Ally Switch","The user teleports using a strange power and switches places with one of its allies. This move's chance of failing rises if it is used in succession."
"Amnesia","The user temporarily empties its mind to forget its concerns. This sharply boosts the user's Sp. Def stat."
"Anchor Shot","The user entangles the target with its anchor chain while attacking. The target becomes unable to flee."
"Ancient Power","The user attacks with a prehistoric power. This may also boost all the user's stats at once."
"Apple Acid","The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat."
"Aqua Cutter","The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit."
"Aqua Jet","The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first."
"Aqua Ring","The user envelops itself in a veil made of water. It regains some HP every turn."
"Aqua Step","The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user's Speed stat."
"Aqua Tail","The user attacks by swinging its tail as if it were a vicious wave in a raging storm."
"Arm Thrust","The user attacks the target with open-palmed arm thrusts. This move hits two to five times in a row."
"Armor Cannon","The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats."
"Aromatherapy","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
"Aromatic Mist","The user boosts the Sp. Def stat of an ally Pokémon by using a mysterious aroma."
"Assist","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Assurance","This move's power is doubled if the target has already taken some damage in the same turn."
"Astonish","The user attacks the target by crying out in a startling fashion. This may also make the target flinch."
"Astral Barrage","The user attacks by sending a frightful amount of small ghosts at opposing Pokémon."
"Attack Order","The user calls out its underlings to pummel the target. This move has a heightened chance of landing a critical hit."
"Attract","If the target is of the opposite gender to the user, it becomes infatuated with the user and will sometimes be unable to use its moves."
"Aura Sphere","The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses."
"Aura Wheel","Morpeko attacks and boosts its Speed stat with the energy stored in its cheeks. This move's type changes depending on the user's form."
"Aurora Beam","The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat."
"Aurora Veil","This move reduces damage from physical and special moves for five turns. This can be used only when it is snowing."
"Autotomize","The user sheds part of its body to make itself lighter and sharply raise its Speed stat."
"Avalanche","This move's power is doubled if the target has inflicted damage on the user in the same turn."
"Axe Kick","The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead."
"Baby-Doll Eyes","The user stares at the target with its baby-doll eyes, which lowers the target's Attack stat. This move always goes first."
"Baddy Bad","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Baneful Bunker","In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact."
"Barb Barrage","The user launches countless toxic barbs to inflict damage. This may also poison the target. This move’s power is doubled if the target is already poisoned."
"Barrage","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Barrier","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Baton Pass","The user switches places with a party Pokémon in waiting and passes along any stat changes."
"Beak Blast","The user first heats up its beak, and then it attacks the target. Making direct contact with the user while it's heating up its beak results in a burn."
"Beat Up","The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks."
"Behemoth Bash","The user becomes a gigantic shield and slams into the target. This move deals twice the damage if the target is Dynamaxed."
"Behemoth Blade","The user becomes a gigantic sword and cuts the target. This move deals twice the damage if the target is Dynamaxed."
"Belch","The user lets out a damaging belch at the target. The user must eat a held Berry to use this move."
"Belly Drum","The user maximizes its Attack stat but loses HP equal to half its max HP."
"Bestow","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Bide","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Bind","A long body, tentacles, or the like are used to bind and squeeze the target for four to five turns."
"Bite","The target is bitten with viciously sharp fangs. This may also make the target flinch."
"Bitter Blade","The user focuses its bitter feelings toward the world of the living into a slashing attack. The user's HP is restored by up to half the damage taken by the target."
"Bitter Malice","The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat."
"Black Hole Eclipse","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Blast Burn","The target is razed by a fiery explosion. The user can't move on the next turn."
"Blaze Kick","The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn."
"Bleakwind Storm","The user attacks with savagely cold winds that cause both body and spirit to tremble. This may also lower the Speed stats of opposing Pokémon."
"Blizzard","A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen."
"Block","The user blocks the target's way with arms spread wide to prevent the target from fleeing."
"Blood Moon","The user unleashes the full brunt of its spirit from a full moon that shines as red as blood. This move can't be used twice in a row."
"Bloom Doom","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Blue Flare","The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn."
"Body Press","The user attacks by slamming its body into the target. The higher the user's Defense stat, the greater the damage this move deals."
"Body Slam","The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis."
"Bolt Beak","The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled."
"Bolt Strike","The user surrounds itself with a great amount of electricity and charges the target. This may also leave the target with paralysis."
"Bone Club","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Bone Rush","The user attacks by striking the target with a hard bone. This move hits two to five times in a row."
"Bonemerang","The user throws the bone it holds. The bone loops around to hit the target twice—coming and going."
"Boomburst","The user attacks everything around it with the destructive power of a terrible explosive sound."
"Bounce","The user bounces up high on the first turn, then drops onto the target on the next turn. This may also leave the target with paralysis."
"Bouncy Bubble","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Branch Poke","The user attacks the target by poking it with a sharply pointed branch."
"Brave Bird","The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot."
"Breaking Swipe","The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats."
"Breakneck Blitz","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Brick Break","The user attacks with a swift chop. This move can also break barriers, such as Light Screen and Reflect."
"Brine","This move's power is doubled if the target's HP is at half or less."
"Brutal Swing","The user swings its body around violently to inflict damage on everything in its vicinity."
"Bubble","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Bubble Beam","A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat."
"Bug Bite","The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect."
"Bug Buzz","The user vibrates to generate a damaging sound wave. This may also lower the target's Sp. Def stat."
"Bulk Up","The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats."
"Bulldoze","The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit."
"Bullet Punch","The user strikes the target with tough punches as fast as bullets. This move always goes first."
"Bullet Seed","The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row."
"Burn Up","To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
"Burning Bulwark","The user's intensely hot fur protects it from attacks and also burns any attacker that makes direct contact with it."
"Burning Jealousy","The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn."
"Buzzy Buzz","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Calm Mind","The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats."
"Camouflage","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Captivate","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Catastropika","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Ceaseless Edge","The user slashes its shell blade at the target. Shell splinters left behind by this attack remain scattered under the target as spikes."
"Celebrate","The Pokémon congratulates you on your special day!"
"Charge","The user becomes charged, boosting the power of the next Electric-type move it uses. This also boosts the user's Sp. Def stat."
"Charge Beam","The user attacks the target with an electric charge. The residual electricity may also boost the user's Sp. Atk stat."
"Charm","The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat."
"Chatter","The user attacks the target with sound waves of deafening chatter. This confuses the target."
"Chilling Water","The user attacks the target by showering it with water that's so cold it saps the target's power. This also lowers the target's Attack stat."
"Chilly Reception","The user tells a chillingly bad joke before switching places with a party Pokémon in waiting. This summons a snowstorm lasting five turns."
"Chip Away","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Chloroblast","The user launches its amassed chlorophyll to inflict damage on the target. This also damages the user."
"Circle Throw","The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
"Clamp","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Clanging Scales","The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat is lowered after the attack."
"Clangorous Soul","The user boosts all its stats by using some of its own HP."
"Clangorous Soulblaze","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Clear Smog","The user attacks the target by throwing a clump of special mud. All stat changes are eliminated."
"Close Combat","The user fights the target up close, inflicting damage without guarding itself. This also lowers the user's Defense and Sp. Def stats."
"Coaching","The user properly coaches its ally Pokémon, boosting their Attack and Defense stats."
"Coil","The user coils up and concentrates. This boosts its Attack and Defense stats as well as its accuracy."
"Collision Course","The user transforms and crashes to the ground, causing a massive prehistoric explosion. This move's power is boosted more than usual if it’s a supereffective hit."
"Comet Punch","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Comeuppance","The user retaliates with much greater force against the opponent that last inflicted damage on it."
"Confide","The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat."
"Confuse Ray","The target is exposed to a sinister ray that causes confusion."
"Confusion","The target is hit with a weak telekinetic force to inflict damage. This may also confuse the target."
"Constrict","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Continental Crush","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Conversion","The user changes its type to become the same type as the move at the top of the list of moves it knows."
"Conversion 2","The user changes its type to make itself resistant to the type of the move the target used last."
"Copycat","The user mimics the move used immediately before it. The move fails if no other move has been used yet."
"Core Enforcer","If the Pokémon the user has inflicted damage on have already used their moves, this move eliminates the effect of the target’s Ability."
"Corkscrew Crash","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Corrosive Gas","The user surrounds everything around it with highly acidic gas and melts away items they hold."
"Cosmic Power","The user absorbs a mystical power from space to boost its Defense and Sp. Def stats."
"Cotton Guard","The user protects itself by wrapping its body in soft cotton, drastically boosting its Defense stat."
"Cotton Spore","The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats."
"Counter","A retaliatory attack that counters any physical move, inflicting double the damage taken."
"Court Change","With its mysterious power, the user swaps the effects on either side of the field."
"Covet","The user endearingly approaches the target, then steals the target's held item."
"Crabhammer","The target is hammered with a large pincer. This move has a heightened chance of landing a critical hit."
"Crafty Shield","The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage."
"Cross Chop","The user delivers a double chop with its forearms crossed. This move has a heightened chance of landing a critical hit."
"Cross Poison","A slashing attack with a poisonous blade that may also poison the target. This move has a heightened chance of landing a critical hit."
"Crunch","The user crunches up the target with sharp fangs. This may also lower the target's Defense stat."
"Crush Claw","The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat."
"Crush Grip","The target is crushed with great force. The more HP the target has left, the greater the move's power."
"Curse","A move that has different effects depending on whether the user is a Ghost type or not."
"Cut","The target is cut with a scythe or claw."
"Dark Pulse","The user releases a horrible aura imbued with ill intent. This may also make the target flinch."
"Dark Void","Opposing Pokémon are dragged into a world of total darkness that puts them to sleep."
"Darkest Lariat","The user swings both arms and hits the target. The target's stat changes don't affect the damage inflicted by this move."
"Dazzling Gleam","The user damages opposing Pokémon by emitting a powerful flash."
"Decorate","The user sharply boosts the target's Attack and Sp. Atk stats by decorating the target."
"Defend Order","The user calls out its underlings to shield its body, boosting its Defense and Sp. Def stats."
"Defense Curl","The user curls up and boosts its Defense stat."
"Defog","A strong wind blows away the target's barriers such as Reflect or Light Screen. This also lowers the target's evasiveness."
"Destiny Bond","If the user is knocked out after using this move, the Pokémon that knocked it out will also faint. This move's chance of failing rises if it is used in succession."
"Detect","This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession."
"Devastating Drake","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Diamond Storm","The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply boost the user's Defense stat."
"Dig","The user burrows into the ground on the first turn, then attacks on the next turn."
"Dire Claw","The user lashes out at the target with ruinous claws. This may also leave the target poisoned, paralyzed, or asleep."
"Disable","For four turns, the target will be unable to use whichever move it last used."
"Disarming Voice","Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses."
"Discharge","The user strikes everything around it by letting loose a flare of electricity. This may also leave those hit by the attack with paralysis."
"Dive","The user dives on the first turn, then floats up and attacks on the next turn."
"Dizzy Punch","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Doodle","The user captures the very essence of the target in a sketch. This changes the Abilities of the user and its ally Pokémon to that of the target."
"Doom Desire","Two turns after this move is used, a concentrated bundle of light blasts the target."
"Double Hit","The user slams the target with a tail or the like. The target is hit twice in a row."
"Double Iron Bash","The user rotates, centering the hex nut in its chest, and then strikes with its arms twice in a row. This may also make the target flinch."
"Double Kick","The user attacks by kicking the target twice in a row using two feet."
"Double Shock","The user discharges all the electricity from its body to perform a high-damage attack. After using this move, the user will no longer be Electric type."
"Double Slap","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Double Team","By moving rapidly, the user makes illusory copies of itself to boost its evasiveness."
"Double-Edge","A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot."
"Draco Meteor","Comets are summoned down from the sky onto the target. The recoil from this move harshly lowers the user’s Sp. Atk stat."
"Dragon Ascent","The user attacks the target by dropping out of the sky at high speed. This also lowers the user's Defense and Sp. Def stats."
"Dragon Breath","The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis."
"Dragon Cheer","The user raises its allies’ morale with a draconic cry so that their future attacks have a heightened chance of landing critical hits. This rouses Dragon types more."
"Dragon Claw","The user slashes the target with huge, sharp claws to inflict damage."
"Dragon Dance","The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats."
"Dragon Darts","The user attacks twice using Dreepy. If there are two opposing Pokémon, this move hits each of them once."
"Dragon Energy","Converting its life-force into power, the user attacks opposing Pokémon. The lower the user's HP, the lower the move's power."
"Dragon Hammer","The user wields its body like a hammer to attack the target and inflict damage."
"Dragon Pulse","The target is attacked with a shock wave generated by the user's gaping mouth."
"Dragon Rage","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Dragon Rush","The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch."
"Dragon Tail","The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
"Drain Punch","The user attacks with an energy-draining punch. The user's HP is restored by up to half the damage taken by the target."
"Draining Kiss","The user steals the target's HP with a kiss. The user's HP is restored by over half the damage taken by the target."
"Dream Eater","The user eats the dreams of a sleeping target. The user's HP is restored by up to half the damage taken by the target."
"Drill Peck","A corkscrewing attack that strikes the target with a sharp beak acting as a drill."
"Drill Run","The user crashes into the target while rotating its body like a drill. This move has a heightened chance of landing a critical hit."
"Drum Beating","The user plays its drum, controlling the drum's roots to attack the target. This also lowers the target's Speed stat."
"Dual Chop","The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row."
"Dual Wingbeat","The user slams the target with its wings to inflict damage. The target is hit twice in a row."
"Dynamax Cannon","The user condenses energy within its body and unleashes that energy from its core to inflict damage."
"Dynamic Punch","The user attacks by punching the target with full concentrated power. This also confuses the target."
"Earth Power","The user makes the ground under the target erupt with power. This may also lower the target's Sp. Def stat."
"Earthquake","The user sets off an earthquake that strikes every Pokémon around it."
"Echoed Voice","The user attacks the target with an echoing voice. If this move is used consecutively by any Pokémon, its power is boosted."
"Eerie Impulse","The user's body generates an eerie impulse. Exposing the target to it harshly lowers the target's Sp. Atk stat."
"Eerie Spell","The user attacks with its tremendous psychic power. This also drains 3 PP from the move last used by the target."
"Egg Bomb","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Electric Terrain","The user turns the ground into Electric Terrain for five turns, powering up Electric-type moves. Pokémon on the ground can no longer fall asleep."
"Electrify","If the target is electrified before it uses a move during that turn, the target’s move becomes Electric type."
"Electro Ball","The user hurls an electric orb at the target. The faster the user is than the target, the greater the move's power."
"Electro Drift","The user races forward at ultrafast speeds, piercing its target with futuristic electricity. This move's power is boosted more than usual if it's a supereffective hit."
"Electro Shot","The user gathers electricity on the first turn, boosting its Sp. Atk stat, then fires a high-voltage shot on the next turn. The shot will be fired immediately in rain."
"Electroweb","The user captures opposing Pokémon in an electric net to inflict damage. This also lowers their Speed stats."
"Embargo","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Ember","The target is attacked with small flames. This may also leave the target with a burn."
"Encore","The user compels the target to keep using the move it encored for three turns."
"Endeavor","The user inflicts damage by cutting down the target's HP to roughly equal the user's HP."
"Endure","The user endures any attack with at least 1 HP. This move's chance of failing rises if used in succession."
"Energy Ball","The user draws power from nature and fires it at the target. This may also lower the target's Sp. Def stat."
"Entrainment","The user dances with an odd rhythm that compels the target to mimic it, making the target's Ability the same as the user's."
"Eruption","The user attacks opposing Pokémon with explosive fury. The lower the user's HP, the lower the move's power."
"Esper Wing","The user slashes the target with aura-enriched wings. This also boosts the user's Speed stat. This move has a heightened chance of landing a critical hit."
"Eternabeam","This is Eternatus’s most powerful attack in its original form. The user can’t move on the next turn."
"Expanding Force","The user attacks the target with its psychic power. When the ground is Psychic Terrain, this move's power is boosted and it damages all opposing Pokémon."
"Explosion","The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move."
"Extrasensory","The user attacks with an odd, unseeable power. This may also make the target flinch."
"Extreme Evoboost","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Extreme Speed","The user charges the target at blinding speed. This move always goes first."
"Facade","This move's power is doubled if the user is poisoned, burned, or paralyzed."
"Fairy Lock","By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn."
"Fairy Wind","The user attacks by stirring up a fairy wind to strike the target."
"Fake Out","This attack hits first and makes the target flinch. It works only on the first turn each time the user enters battle."
"Fake Tears","The user feigns crying to fluster the target. This harshly lowers the target's Sp. Def stat."
"False Surrender","The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses."
"False Swipe","A restrained attack that prevents the target from fainting. The target is left with at least 1 HP."
"Feather Dance","The user covers the target's body with a mass of down that harshly lowers its Attack stat."
"Feint","This attack can hit a target using a move such as Protect or Detect. This also lifts the effects of those moves."
"Feint Attack","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Fell Stinger","When the user knocks out a target with this move, the user's Attack stat is boosted drastically."
"Fickle Beam","The user shoots a beam of light to inflict damage. Sometimes all the user's heads shoot beams in unison, doubling the move's power."
"Fiery Dance","Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also boost the user's Sp. Atk stat."
"Fiery Wrath","The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch."
