"move_id","version_group_id","flavor_text"
"1","3","Pounds with forelegs or tail."
"1","5","Pounds the foe with forelegs or tail."
"1","7","A physical attack delivered with a long tail or a foreleg, etc."
"1","8","The foe is physically pounded with a long tail or a foreleg, etc."
"1","11","The target is physically pounded with a long tail or a foreleg, etc."
"1","15","The target is physically pounded with a long tail, a foreleg, or the like."
"2","3","Has a high critical hit ratio."
"2","5","A chopping attack with a high critical-hit ratio."
"2","7","The foe is attacked with a sharp chop. It has a high critical-hit ratio."
"2","11","The target is attacked with a sharp chop. Critical hits land more easily."
"2","20","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"3","3","Repeatedly slaps 2-5 times."
"3","5","Repeatedly slaps the foe 2 to 5 times."
"3","7","The foe is slapped repeatedly, back and forth, two to five times."
"3","8","The foe is slapped repeatedly, back and forth, two to five times in a row."
"3","11","The target is slapped repeatedly, back and forth, two to five times in a row."
"3","20","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"4","3","Repeatedly punches 2-5 times."
"4","5","Repeatedly punches the foe 2 to 5 times."
"4","7","The foe is hit with a flurry of punches that strike two to five times."
"4","8","The foe is hit with a flurry of punches that strike two to five times in a row."
"4","11","The target is hit with a flurry of punches that strike two to five times in a row."
"4","20","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"5","3","A powerful punch thrown very hard."
"5","5","A strong punch thrown with incredible power."
"5","7","The foe is slugged by a punch thrown with muscle-packed power."
"5","11","The target is slugged by a punch thrown with muscle-packed power."
"6","3","Throws coins. Gets them back later."
"6","5","Throws coins at the foe. Money is recovered after."
"6","7","Numerous coins are hurled at the foe. Money is earned after battle."
"6","8","Numerous coins are hurled at the foe to inflict damage. Money is earned after battle."
"6","11","Numerous coins are hurled at the target to inflict damage. Money is earned after the battle."
"6","25","Coins are hurled at the target to inflict damage. Money is earned after the battle."
"7","3","A fiery punch. May cause a burn."
"7","5","A fiery punch that may burn the foe."
"7","7","The foe is punched with a fiery fist. It may leave the foe with a burn."
"7","8","The foe is punched with a fiery fist. It may leave the target with a burn."
"7","11","The target is punched with a fiery fist. It may also leave the target with a burn."
"7","15","The target is punched with a fiery fist. This may also leave the target with a burn."
"7","25","The target is attacked with a fiery punch. This may also leave the target with a burn."
"8","3","An icy punch. May cause freezing."
"8","5","An icy punch that may freeze the foe."
"8","7","The foe is punched with an icy fist. It may leave the foe frozen."
"8","8","The foe is punched with an icy fist. It may leave the target frozen."
"8","11","The target is punched with an icy fist. It may also leave the target frozen."
"8","15","The target is punched with an icy fist. This may also leave the target frozen."
"8","24","The target is punched with an icy fist. This may also leave the target with frostbite."
"8","25","The target is attacked with an icy punch. This may also leave the target frozen."
"9","3","An electric punch. It may paralyze."
"9","5","An electrified punch that may paralyze the foe."
"9","7","The foe is punched with an electrified fist. It may leave the foe paralyzed."
"9","8","The foe is punched with an electrified fist. It may leave the target with paralysis."
"9","11","The target is punched with an electrified fist. It may also leave the target with paralysis."
"9","15","The target is punched with an electrified fist. This may also leave the target with paralysis."
"9","25","The target is attacked with an electrified punch. This may also leave the target with paralysis."
"10","3","Scratches with sharp claws."
"10","5","Scratches the foe with sharp claws."
"10","7","Hard, pointed, and sharp claws rake the foe."
"10","8","Hard, pointed, and sharp claws rake the foe to inflict damage."
"10","11","Hard, pointed, and sharp claws rake the target to inflict damage."
"10","15","Hard, pointed, sharp claws rake the target to inflict damage."
"11","3","Grips with powerful pincers."
"11","5","Grips the foe with large and powerful pincers."
"11","7","Huge, impressive pincers grip and squeeze the foe."
"11","11","The target is gripped and squeezed from both sides to inflict damage."
"12","3","A one-hit KO, pincer attack."
"12","5","A powerful pincer attack that may cause fainting."
"12","7","A vicious tearing attack with pincers. The foe will faint if it hits."
"12","8","A vicious, tearing attack with pincers. The foe will faint instantly if this attack hits."
