move_id,local_language_id,name
1,1,はたく
1,9,Pound
1,11,はたく
2,1,からてチョップ
2,9,Karate Chop
2,11,からてチョップ
3,1,おうふくビンタ
3,9,Double Slap
3,11,おうふくビンタ
4,1,れんぞくパンチ
4,9,Comet Punch
4,11,れんぞくパンチ
5,1,メガトンパンチ
5,9,Mega Punch
5,11,メガトンパンチ
6,1,ネコにこばん
6,9,Pay Day
6,11,ネコにこばん
7,1,ほのおのパンチ
7,9,Fire Punch
7,11,ほのおのパンチ
8,1,れいとうパンチ
8,9,Ice Punch
8,11,れいとうパンチ
9,1,かみなりパンチ
9,9,Thunder Punch
9,11,かみなりパンチ
10,1,ひっかく
10,9,Scratch
10,11,ひっかく
11,1,はさむ
11,9,Vise Grip
11,11,はさむ
12,1,ハサミギロチン
12,9,Guillotine
12,11,ハサミギロチン
13,1,かまいたち
13,9,Razor Wind
13,11,かまいたち
14,1,つるぎのまい
14,9,Swords Dance
14,11,つるぎのまい
15,1,いあいぎり
15,9,Cut
15,11,いあいぎり
16,1,かぜおこし
16,9,Gust
16,11,かぜおこし
17,1,つばさでうつ
17,9,Wing Attack
17,11,つばさでうつ
18,1,ふきとばし
18,9,Whirlwind
18,11,ふきとばし
19,1,そらをとぶ
19,9,Fly
19,11,そらをとぶ
20,1,しめつける
20,9,Bind
20,11,しめつける
21,1,たたきつける
21,9,Slam
21,11,たたきつける
22,1,つるのムチ
22,9,Vine Whip
22,11,つるのムチ
23,1,ふみつけ
23,9,Stomp
23,11,ふみつけ
24,1,にどげり
24,9,Double Kick
24,11,にどげり
25,1,メガトンキック
25,9,Mega Kick
25,11,メガトンキック
26,1,とびげり
26,9,Jump Kick
26,11,とびげり
27,1,まわしげり
27,9,Rolling Kick
27,11,まわしげり
28,1,すなかけ
28,9,Sand Attack
28,11,すなかけ
29,1,ずつき
29,9,Headbutt
29,11,ずつき
30,1,つのでつく
30,9,Horn Attack
30,11,つのでつく
31,1,みだれづき
31,9,Fury Attack
31,11,みだれづき
32,1,つのドリル
32,9,Horn Drill
32,11,つのドリル
33,1,たいあたり
33,9,Tackle
33,11,たいあたり
34,1,のしかかり
34,9,Body Slam
34,11,のしかかり
35,1,まきつく
35,9,Wrap
35,11,まきつく
36,1,とっしん
36,9,Take Down
36,11,とっしん
37,1,あばれる
37,9,Thrash
37,11,あばれる
38,1,すてみタックル
38,9,Double-Edge
38,11,すてみタックル
39,1,しっぽをふる
39,9,Tail Whip
39,11,しっぽをふる
40,1,どくばり
40,9,Poison Sting
40,11,どくばり
41,1,ダブルニードル
41,9,Twineedle
41,11,ダブルニードル
42,1,ミサイルばり
42,9,Pin Missile
42,11,ミサイルばり
43,1,にらみつける
43,9,Leer
43,11,にらみつける
44,1,かみつく
44,9,Bite
44,11,かみつく
45,1,なきごえ
45,9,Growl
45,11,なきごえ
46,1,ほえる
46,9,Roar
46,11,ほえる
47,1,うたう
47,9,Sing
47,11,うたう
48,1,ちょうおんぱ
48,9,Supersonic
48,11,ちょうおんぱ
49,1,ソニックブーム
49,9,Sonic Boom
49,11,ソニックブーム
50,1,かなしばり
50,9,Disable
50,11,かなしばり
51,1,ようかいえき
51,9,Acid
51,11,ようかいえき
52,1,ひのこ
52,9,Ember
52,11,ひのこ
53,1,かえんほうしゃ
53,9,Flamethrower
53,11,かえんほうしゃ
54,1,しろいきり
54,9,Mist
54,11,しろいきり
55,1,みずでっぽう
55,9,Water Gun
55,11,みずでっぽう
56,1,ハイドロポンプ
56,9,Hydro Pump
56,11,ハイドロポンプ
57,1,なみのり
57,9,Surf
57,11,なみのり
58,1,れいとうビーム
