location_area_id,local_language_id,name
1,9,Canalave City
2,9,Eterna City
3,9,Pastoria City
4,9,Sunyshore City
5,9,Sinnoh League
6,9,Oreburgh mine (1F)
7,9,Oreburgh mine (B1F)
8,9,Valley Windworks
9,9,Eterna Forest
10,9,Fuego Ironworks
11,9,Mount Coronet (1F Road 207)
12,9,Mount Coronet (2F)
13,9,Mount Coronet (3F)
14,9,Mount Coronet (exterior snowfall)
15,9,Mount Coronet (exterior blizzard)
16,9,Mount Coronet (4F)
17,9,Mount Coronet (4F small room)
18,9,Mount Coronet (5F)
19,9,Mount Coronet (6F)
20,9,Mount Coronet (1F from exterior)
21,9,Mount Coronet (1F Road 216)
22,9,Mount Coronet (1F Road 211)
23,9,Mount Coronet (B1F)
24,9,Great Marsh Area 1
25,9,Great Marsh Area 2
26,9,Great Marsh Area 3
27,9,Great Marsh Area 4
28,9,Great Marsh Area 5
29,9,Great Marsh Area 6
30,9,Solaceon Ruins (2F)
31,9,Solaceon Ruins (1F)
32,9,Solaceon Ruins (B1F A)
33,9,Solaceon Ruins (B1F B)
34,9,Solaceon Ruins (B1F C)
35,9,Solaceon Ruins (B2F A)
36,9,Solaceon Ruins (B2F B)
37,9,Solaceon Ruins (B2F C)
38,9,Solaceon Ruins (B3F A)
39,9,Solaceon Ruins (B3F B)
40,9,Solaceon Ruins (B3F C)
41,9,Solaceon Ruins (B3F D)
42,9,Solaceon Ruins (B3F E)
43,9,Solaceon Ruins (B4F A)
44,9,Solaceon Ruins (B4F B)
45,9,Solaceon Ruins (B4F C)
46,9,Solaceon Ruins (B4F D)
47,9,Solaceon Ruins (B5F)
48,9,Victory Road (1F)
49,9,Victory Road (2F)
50,9,Victory Road (B1F)
51,9,Victory Road (inside B1F)
52,9,Victory Road (inside)
53,9,Victory Road (inside exit)
54,9,Ravaged Path
55,9,Oreburgh Gate (1F)
56,9,Oreburgh Gate (B1F)
57,9,Stark Mountain exterior
58,9,Stark Mountain entrance
59,9,Stark Mountain main cavern
60,9,Sendoff Spring
61,9,Turnback Cave (pillar 1)
62,9,Turnback Cave (pillar 2)
63,9,Turnback Cave (pillar 3)
64,9,Turnback Cave (before pillar 1)
70,9,Turnback Cave (between pillars 1 and 2)
76,9,Turnback Cave (between pillars 2 and 3)
82,9,Turnback Cave (after pillar 3)
107,9,Snowpoint Temple (1F)
108,9,Snowpoint Temple (B1F)
109,9,Snowpoint Temple (B2F)
110,9,Snowpoint Temple (B3F)
111,9,Snowpoint Temple (B4F)
112,9,Snowpoint Temple (B5F)
113,9,Wayward Cave (1F)
114,9,Wayward Cave (B1F)
115,9,Ruin Maniac Cave (0–9 different Unown caught)
116,9,Ruin Maniac Cave (10–25 different Unown caught)
117,9,Maniac Tunnel (26+ different Unown caught)
118,9,Trophy Garden
119,9,Iron Island area
120,9,Iron Island (1F)
121,9,Iron Island (B1F left)
122,9,Iron Island (B1F right)
123,9,Iron Island (B2F right)
124,9,Iron Island (B2F left)
125,9,Iron Island (B3F)
126,9,Old Chateau (entrance)
127,9,Old Chateau (dining room)
128,9,Old Chateau (2F private room)
129,9,Old Chateau (2F)
130,9,Old Chateau (2F leftmost room)
131,9,Old Chateau (2F left room)
132,9,Old Chateau (2F middle room)
133,9,Old Chateau (2F right room)
134,9,Old Chateau (2F rightmost room)
135,9,Lake Verity (before Galactic intervention)
136,9,Lake Verity (after Galactic intervention)
137,9,Lake Valor
138,9,Lake Acuity
139,9,Valor Lakefront
140,9,Acuity Lakefront
141,9,Road 201
142,9,Road 202
143,9,Road 203
144,9,"Road 204 (south, towards Jubilife City)"
145,9,"Road 204 (north, towards Floaroma Town)"
146,9,"Road 205 (south, towards Floaroma Town)"
147,9,"Road 205 (east, towards Eterna City)"
148,9,Road 206
149,9,Road 207
150,9,Road 208
151,9,Road 209
152,9,Lost Tower (1F)
153,9,Lost Tower (2F)
154,9,Lost Tower (3F)
155,9,Lost Tower (4F)
156,9,Lost Tower (5F)
