pokemon_species_id,local_language_id,name,genus
1,1,フシギダネ,たねポケモン
1,9,Bulbasaur,Seed Pokémon
1,11,フシギダネ,たねポケモン
2,1,フシギソウ,たねポケモン
2,9,Ivysaur,Seed Pokémon
2,11,フシギソウ,たねポケモン
3,1,フシギバナ,たねポケモン
3,9,Venusaur,Seed Pokémon
3,11,フシギバナ,たねポケモン
4,1,ヒトカゲ,とかげポケモン
4,9,Charmander,Lizard Pokémon
4,11,ヒトカゲ,とかげポケモン
5,1,リザード,かえんポケモン
5,9,Charmeleon,Flame Pokémon
5,11,リザード,かえんポケモン
6,1,リザードン,かえんポケモン
6,9,Charizard,Flame Pokémon
6,11,リザードン,かえんポケモン
7,1,ゼニガメ,かめのこポケモン
7,9,Squirtle,Tiny Turtle Pokémon
7,11,ゼニガメ,かめのこポケモン
8,1,カメール,かめポケモン
8,9,Wartortle,Turtle Pokémon
8,11,カメール,かめポケモン
9,1,カメックス,こうらポケモン
9,9,Blastoise,Shellfish Pokémon
9,11,カメックス,こうらポケモン
10,1,キャタピー,いもむしポケモン
10,9,Caterpie,Worm Pokémon
10,11,キャタピー,いもむしポケモン
11,1,トランセル,さなぎポケモン
11,9,Metapod,Cocoon Pokémon
11,11,トランセル,さなぎポケモン
12,1,バタフリー,ちょうちょポケモン
12,9,Butterfree,Butterfly Pokémon
12,11,バタフリー,ちょうちょポケモン
13,1,ビードル,けむしポケモン
13,9,Weedle,Hairy Bug Pokémon
13,11,ビードル,けむしポケモン
14,1,コクーン,さなぎポケモン
14,9,Kakuna,Cocoon Pokémon
14,11,コクーン,さなぎポケモン
15,1,スピアー,どくばちポケモン
15,9,Beedrill,Poison Bee Pokémon
15,11,スピアー,どくばちポケモン
16,1,ポッポ,ことりポケモン
16,9,Pidgey,Tiny Bird Pokémon
16,11,ポッポ,ことりポケモン
17,1,ピジョン,とりポケモン
17,9,Pidgeotto,Bird Pokémon
17,11,ピジョン,とりポケモン
18,1,ピジョット,とりポケモン
18,9,Pidgeot,Bird Pokémon
18,11,ピジョット,とりポケモン
19,1,コラッタ,ねずみポケモン
19,9,Rattata,Mouse Pokémon
19,11,コラッタ,ねずみポケモン
20,1,ラッタ,ねずみポケモン
20,9,Raticate,Mouse Pokémon
20,11,ラッタ,ねずみポケモン
21,1,オニスズメ,ことりポケモン
21,9,Spearow,Tiny Bird Pokémon
21,11,オニスズメ,ことりポケモン
22,1,オニドリル,くちばしポケモン
22,9,Fearow,Beak Pokémon
22,11,オニドリル,くちばしポケモン
23,1,アーボ,へびポケモン
23,9,Ekans,Snake Pokémon
23,11,アーボ,へびポケモン
24,1,アーボック,コブラポケモン
24,9,Arbok,Cobra Pokémon
24,11,アーボック,コブラポケモン
25,1,ピカチュウ,ねずみポケモン
25,9,Pikachu,Mouse Pokémon
25,11,ピカチュウ,ねずみポケモン
26,1,ライチュウ,ねずみポケモン
26,9,Raichu,Mouse Pokémon
26,11,ライチュウ,ねずみポケモン
27,1,サンド,ねずみポケモン
27,9,Sandshrew,Mouse Pokémon
27,11,サンド,ねずみポケモン
28,1,サンドパン,ねずみポケモン
28,9,Sandslash,Mouse Pokémon
28,11,サンドパン,ねずみポケモン
29,1,ニドラン♀,どくばりポケモン
29,9,Nidoran♀,Poison Pin Pokémon
29,11,ニドラン♀,どくばりポケモン
30,1,ニドリーナ,どくばりポケモン
30,9,Nidorina,Poison Pin Pokémon
30,11,ニドリーナ,どくばりポケモン
31,1,ニドクイン,ドリルポケモン
31,9,Nidoqueen,Drill Pokémon
31,11,ニドクイン,ドリルポケモン
32,1,ニドラン♂,どくばりポケモン
32,9,Nidoran♂,Poison Pin Pokémon
32,11,ニドラン♂,どくばりポケモン
33,1,ニドリーノ,どくばりポケモン
33,9,Nidorino,Poison Pin Pokémon
33,11,ニドリーノ,どくばりポケモン
34,1,ニドキング,ドリルポケモン
34,9,Nidoking,Drill Pokémon
34,11,ニドキング,ドリルポケモン
35,1,ピッピ,ようせいポケモン
35,9,Clefairy,Fairy Pokémon
35,11,ピッピ,ようせいポケモン
36,1,ピクシー,ようせいポケモン
36,9,Clefable,Fairy Pokémon
36,11,ピクシー,ようせいポケモン
37,1,ロコン,きつねポケモン
37,9,Vulpix,Fox Pokémon
37,11,ロコン,きつねポケモン
38,1,キュウコン,きつねポケモン
38,9,Ninetales,Fox Pokémon
38,11,キュウコン,きつねポケモン
39,1,プリン,ふうせんポケモン
39,9,Jigglypuff,Balloon Pokémon
39,11,プリン,ふうせんポケモン
40,1,プクリン,ふうせんポケモン
40,9,Wigglytuff,Balloon Pokémon
40,11,プクリン,ふうせんポケモン
41,1,ズバット,こうもりポケモン
41,9,Zubat,Bat Pokémon
41,11,ズバット,こうもりポケモン
42,1,ゴルバット,こうもりポケモン
